"ROI","Mean","Channel","Frame","Time","Sensor_Name","ROI_Name"
1,65.082,2,23,66,"RFP","Airpore Old 1"
2,60.828,2,23,66,"RFP","Airpore Old 2"
3,46.68,2,23,66,"RFP","Airpore Old 3"
4,36.029,2,23,66,"RFP","Airpore Medium 1"
5,62.538,2,23,66,"RFP","Airpore Medium 2"
6,53.47,2,23,66,"RFP","background"
1,6.632,1,24,69,"GFP","Airpore Old 1"
2,7.526,1,24,69,"GFP","Airpore Old 2"
3,9.07,1,24,69,"GFP","Airpore Old 3"
4,5.71,1,24,69,"GFP","Airpore Medium 1"
5,9.002,1,24,69,"GFP","Airpore Medium 2"
6,8.288,1,24,69,"GFP","background"
1,65.424,2,24,69,"RFP","Airpore Old 1"
2,60.12,2,24,69,"RFP","Airpore Old 2"
3,46.743,2,24,69,"RFP","Airpore Old 3"
4,36.252,2,24,69,"RFP","Airpore Medium 1"
5,62.706,2,24,69,"RFP","Airpore Medium 2"
6,53.458,2,24,69,"RFP","background"
1,6.475,1,25,72,"GFP","Airpore Old 1"
2,7.687,1,25,72,"GFP","Airpore Old 2"
3,9.195,1,25,72,"GFP","Airpore Old 3"
4,5.612,1,25,72,"GFP","Airpore Medium 1"
5,8.805,1,25,72,"GFP","Airpore Medium 2"
6,8.256,1,25,72,"GFP","background"
1,64.938,2,25,72,"RFP","Airpore Old 1"
2,59.828,2,25,72,"RFP","Airpore Old 2"
3,47.124,2,25,72,"RFP","Airpore Old 3"
4,36.326,2,25,72,"RFP","Airpore Medium 1"
5,63.295,2,25,72,"RFP","Airpore Medium 2"
6,53.122,2,25,72,"RFP","background"
1,6.683,1,26,75,"GFP","Airpore Old 1"
2,7.588,1,26,75,"GFP","Airpore Old 2"
3,9.418,1,26,75,"GFP","Airpore Old 3"
4,5.392,1,26,75,"GFP","Airpore Medium 1"
5,8.789,1,26,75,"GFP","Airpore Medium 2"
6,8.159,1,26,75,"GFP","background"
1,65.565,2,26,75,"RFP","Airpore Old 1"
2,59.659,2,26,75,"RFP","Airpore Old 2"
3,47.04,2,26,75,"RFP","Airpore Old 3"
4,36.167,2,26,75,"RFP","Airpore Medium 1"
5,62.303,2,26,75,"RFP","Airpore Medium 2"
6,53.448,2,26,75,"RFP","background"
1,6.554,1,27,78,"GFP","Airpore Old 1"
2,7.384,1,27,78,"GFP","Airpore Old 2"
3,9.255,1,27,78,"GFP","Airpore Old 3"
4,5.562,1,27,78,"GFP","Airpore Medium 1"
5,9.084,1,27,78,"GFP","Airpore Medium 2"
6,8.043,1,27,78,"GFP","background"
1,65.413,2,27,78,"RFP","Airpore Old 1"
2,59.954,2,27,78,"RFP","Airpore Old 2"
3,46.981,2,27,78,"RFP","Airpore Old 3"
4,36.422,2,27,78,"RFP","Airpore Medium 1"
5,62.642,2,27,78,"RFP","Airpore Medium 2"
6,53.054,2,27,78,"RFP","background"
1,6.65,1,28,81,"GFP","Airpore Old 1"
2,7.547,1,28,81,"GFP","Airpore Old 2"
3,9.268,1,28,81,"GFP","Airpore Old 3"
4,5.574,1,28,81,"GFP","Airpore Medium 1"
5,8.598,1,28,81,"GFP","Airpore Medium 2"
6,8.068,1,28,81,"GFP","background"
1,64.849,2,28,81,"RFP","Airpore Old 1"
2,59.556,2,28,81,"RFP","Airpore Old 2"
3,47.46,2,28,81,"RFP","Airpore Old 3"
4,35.711,2,28,81,"RFP","Airpore Medium 1"
5,63.111,2,28,81,"RFP","Airpore Medium 2"
6,53.3,2,28,81,"RFP","background"
1,6.48,1,29,84,"GFP","Airpore Old 1"
2,7.469,1,29,84,"GFP","Airpore Old 2"
3,9.238,1,29,84,"GFP","Airpore Old 3"
4,5.494,1,29,84,"GFP","Airpore Medium 1"
5,8.801,1,29,84,"GFP","Airpore Medium 2"
6,8.004,1,29,84,"GFP","background"
1,65.676,2,29,84,"RFP","Airpore Old 1"
2,59.361,2,29,84,"RFP","Airpore Old 2"
3,46.736,2,29,84,"RFP","Airpore Old 3"
4,35.727,2,29,84,"RFP","Airpore Medium 1"
5,62.592,2,29,84,"RFP","Airpore Medium 2"
6,52.886,2,29,84,"RFP","background"
1,6.367,1,30,87,"GFP","Airpore Old 1"
2,7.347,1,30,87,"GFP","Airpore Old 2"
3,9.394,1,30,87,"GFP","Airpore Old 3"
4,5.719,1,30,87,"GFP","Airpore Medium 1"
5,8.624,1,30,87,"GFP","Airpore Medium 2"
6,8.023,1,30,87,"GFP","background"
1,64.104,2,30,87,"RFP","Airpore Old 1"
2,60.022,2,30,87,"RFP","Airpore Old 2"
3,46.721,2,30,87,"RFP","Airpore Old 3"
4,35.642,2,30,87,"RFP","Airpore Medium 1"
5,62.959,2,30,87,"RFP","Airpore Medium 2"
6,53.027,2,30,87,"RFP","background"
1,6.585,1,31,90,"GFP","Airpore Old 1"
2,7.722,1,31,90,"GFP","Airpore Old 2"
3,9.23,1,31,90,"GFP","Airpore Old 3"
